"Title","CleanedTitle"
"(JIM)","jim"
"(JIMBE)","jimbe"
"(JIML) JOURNAL OF INNOVATIVE MATHEMATICS LEARNING","jiml journal of innovative mathematics learning"
"(JINSENG) Journal of Industrial Innovation and Safety Engineering","jinseng journal of industrial innovation and safety engineering"
"(JRAMB) Jurnal Riset Akuntansi Mercu Buana","jramb riset akuntansi mercu buana"
"(JUMPER)","jumper"
"(Medical Scientific Journal) MESINA","medical scientific journal mesina"
"(MJN)","mjn"
"(PEJ) Primary Education Journal","pej primary education journal"
"12 Waiheru","12 waiheru"
"ABSYARA: Jurnal Pengabdian Pada Masyarakat","absyara"
"Abuya: Jurnal Pendidikan dasar","abuya pendidikan dasar"
"Academia Open","academia open"
"Academia Praja : Jurnal Ilmu Politik, Pemerintahan dan Administrasi Publik","academia praja politik pemerintahan administrasi publik"
"ACADEMIA: Jurnal Inovasi Riset Akademik","academia inovasi riset akademik"
"Academic : Journal of Social and Educational Studies","academic journal of social and educational study"
"Academic Hospital Journal","academic hospital journal"
"Academic Journal of Computer Science Research (AJCSR)","academic journal of computer science research ajcsr"
"Academic Journal of Computer Science Research (AJCSR)","academic journal of computer science research ajcsr"
"Academic Journal of Da'wa and Communication","academic journal of da wa and communication"
"Abdi Masyarakat UIKA","abdi uika"
"ABDI MOESTOPO: Jurnal Pengabdian pada Masyarakat","abdi moestopo"
"Abdi Psikonomi","abdi psikonomi"
"ABDI PUSTAKA: Jurnal Perpustakaan dan Kearsipan","abdi pustaka perpustakaan kearsipan"
"Abdi Reksa","abdi reksa"
"ABDI SABHA (Jurnal Pengabdian kepada Masyarakat)","abdi sabha"
"Abdi Samulang : Jurnal Pengabdian Kepada Masyarakat","abdi samulang"
"Abdi Seni","abdi seni"
"Abdi Teknoyasa","abdi teknoyasa"
"ABDI UNISAP: Jurnal Pengabdian Kepada Masyarakat","abdi unisap"
"Abdurrauf Journal of Community Service","abdurrauf journal of community service"
"Abdurrauf Journal of Islamic Studies","abdurrauf journal of islamic study"
"Abdurrauf Law and Sharia","abdurrauf law and sharia"
"Abdurrauf Social Science","abdurrauf social science"
"ABHATS: Jurnal Islam Ulil Albab","abhats islam ulil albab"
"ABIDUMASY : Jurnal Pengabdian kepada Masyarakat","abidumasy"
"Ability : Journal of Education and Social Analysis","ability journal of education and social analysis"
"Abimanyu: Journal of Community Engagement","abimanyu journal of community engagement"
"ABIS: Accounting and Business Information Systems Journal","abis accounting and business information system journal"
"Abiwara : Jurnal Vokasi Administrasi Bisnis","abiwara vokasi administrasi bisnis"
"ABDIKARYA: Jurnal Pengabdian dan Pemberdayaan Masyarakat","abdikarya pemberdayaan"
"ABDIKES TRADA : JURNAL PENGABDIAN MULTIDISIPLIN DAN PEMBERDAYAAN MASYARAKAT","abdikes trada multidisiplin pemberdayaan"
"ABDIKOM","abdikom"
"ABDIMAS","abdimas"
"Abdimas","abdimas"
"ABDIMAS","abdimas"
"Abdimas","abdimas"
"Abdimas : Jurnal Pengabdian Kepada Masyarakat","abdimas"
"Abdimas Altruis: Jurnal Pengabdian Kepada Masyarakat","abdimas altruis"
"Abdimas Awang Long: Jurnal Pengabdian dan Pemberdayaan Masyarakat","abdimas awang long pemberdayaan"
"ABDIMU Jurnal Pengabdian Kepada Masyarakat","abdimu"
"ABDINA: Jurnal Sosial Dan Pengabdian Kepada Masyarakat","abdina sosial"
"Abdine :  Jurnal Pengabdian Masyarakat","abdine"
"Abdinesia: Jurnal Pengabdian Kepada Masyarakat","abdinesia"
"ABDIPRAJA (Jurnal Pengabdian kepada Masyarakat)","abdipraja"
"Abdisembrani: Jurnal Pengabdian Masyarakat","abdisembrani"
"Abditani : Jurnal Pengabdian Masyarakat","abditani"
"AbdiTechno (Jurnal Pengabdian Masyarakat)","abditechno"
"Abditek Nusantara","abditek nusantara"
